"","seq_orgao","seq_orgao_pai","latitude","longitude","placeId"
"1","1","",-15.8045,-47.8689,"ChIJY8BH-0c7WpMRGroihFrimlQ"
"2","10","13606.0",-3.1037,-59.9977,"ChIJjShJljQFbJIRo3akTek1ktk"
"3","100","13645.0",-6.1479,-37.7639,"ChIJj0KlnuHMugcR5DjoZuPQov0"
"4","1000","13651.0",-30.108,-51.3197,"ChIJN_qzQ0vVG5UR3taGZswxxt8"
"5","10000","1734.0",-22.9929,-49.8651,"ChIJwSdWeBoYwJQRZOzkTcPcHcE"
"6","10001","1734.0",-22.993,-49.8652,"EkFSLiBkb3MgRXhwZWRpY2lvbsOhcmlvcywgMTg5NSAtIFZpbGEgVmlsYXIsIE91cmluaG9zIC0gU1AsIEJyYXppbCIbEhkKFAoSCWurf4cQGMCUEQErVtZ32ZfPEOcO"
"7","10002","1734.0",-22.9929,-49.8651,"ChIJwSdWeBoYwJQRZOzkTcPcHcE"
"8","10003","1734.0",-22.9929,-49.8651,"ChIJwSdWeBoYwJQRZOzkTcPcHcE"
"9","10004","1738.0",-21.5586,-51.2685,"EkNBdi4gU8OjbyBKb8OjbywgMTM2MSAtIEd1YXJhbml1dmEsIFBhY2FlbWJ1IC0gU1AsIDE3ODYwLTAwMCwgQnJhemlsIhsSGQoUChIJWQ_NHSS0lpQRgZLdkFxvZnMQ0Qo"
"10","10005","1738.0",-21.5586,-51.2685,"EkNBdi4gU8OjbyBKb8OjbywgMTM2MSAtIEd1YXJhbml1dmEsIFBhY2FlbWJ1IC0gU1AsIDE3ODYwLTAwMCwgQnJhemlsIhsSGQoUChIJWQ_NHSS0lpQRgZLdkFxvZnMQ0Qo"
"11","10006","1750.0",-20.392,-49.4383,"EjZSLiBDYXAuIEZhcmlhLCAxMDQ4LCBQYWxlc3RpbmEgLSBTUCwgMTU0NzAtMDAwLCBCcmF6aWwiGxIZChQKEgmpVuZfMB-9lBFojB5zxum45xCYCA"
"12","10007","1750.0",-20.3915,-49.4326,"ChIJeXHlEjsfvZQRJ_2YrzcGKWE"
"13","10008","1761.0",-20.4139,-50.7614,"ChIJjYp1zwB-l5QR6P_3vilC08A"
"14","10009","1761.0",-20.4139,-50.7614,"ChIJjYp1zwB-l5QR6P_3vilC08A"
"15","1001","13657.0",-20.3254,-48.3109,"ChIJmbI-koIJu5QRR6kIrigPpXU"
"16","10010","1761.0",-20.4171,-50.761,"ChIJMVosMQd-l5QR9S9H2MZNVfo"
"17","10011","1770.0",-22.7911,-50.2108,"ChIJMVZ9BjNNlZQRNaiLE7H7wK8"
"18","10012","1770.0",-22.7911,-50.2108,"ChIJMVZ9BjNNlZQRNaiLE7H7wK8"
"19","10013","1770.0",-22.7911,-50.2108,"ChIJMVZ9BjNNlZQRNaiLE7H7wK8"
"20","10014","1777.0",-21.364,-51.8602,"ChIJzyfClsgCkZQRXltLMET4pY0"
"21","10015","1777.0",-21.3675,-51.862,"ChIJzyfClsgCkZQRJL5L4vXPOB4"
"22","10016","1786.0",-22.4213,-50.5804,"ChIJz9zllLYElZQRLhpgX4DeWEM"
"23","10017","1786.0",-22.4213,-50.5804,"ChIJz9zllLYElZQRLhpgX4DeWEM"
"24","10018","1786.0",-22.4213,-50.5804,"ChIJz9zllLYElZQRLhpgX4DeWEM"
"25","10019","1786.0",-22.4213,-50.5804,"ChIJz9zllLYElZQRLhpgX4DeWEM"
"26","1002","13641.0",-24.0835,-54.2444,"ChIJdclEv2Gl9JQRfV9SuphpkKE"
"27","10020","1789.0",-23.3905,-45.6609,"ChIJM-oNlramzZQRMCiU2LHc_w0"
"28","10021","1789.0",-23.3905,-45.6609,"ChIJM-oNlramzZQRMCiU2LHc_w0"
"29","10022","1832.0",-20.6457,-47.2753,"ChIJQ12-3ZCysJQRSK4J-hAZ-90"
"30","10023","1844.0",-20.0303,-49.4004,"ChIJbRxbYmgrvZQRH4JzMU066c0"
